,Baseline,MD
1,45.76308955,46.28173331
2,46.35574511,44.99436482
3,46.12889071,45.5124656
4,51.14115091,48.26819301
5,48.11808295,48.12477833
6,48.83784801,47.00615955
7,49.20446725,47.6820554
8,45.78112608,47.34673915
9,49.65816954,44.67289597
10,47.07199577,45.30125416
11,47.722301,49.12686549
12,49.57561969,46.01657806
13,50.76965057,45.34123436
14,50.76483967,48.02267984
15,49.16883933,47.20973438
16,50.66210633,47.31588632
17,57.32618777,43.98591278
18,50.39383954,46.6439459
19,52.74941826,44.54622471
20,52.3795321,46.55960967
21,53.22541578,46.00864748
22,56.31100143,45.28572428
23,53.67533548,47.44927216
24,56.52335133,47.95911885
25,56.49698903,46.34578431
26,57.78052918,44.72777003
27,56.40591935,46.5271654
28,57.26202364,45.90400607
29,59.63809166,44.59235489
30,60.37815588,46.30464839
31,59.61583123,47.0141696
32,60.36541401,44.97372733
33,60.61251391,46.7842345
34,60.37200014,44.78077551
35,60.06220467,47.54360198
36,60.26052312,47.1916581
37,60.50959598,47.75448917
38,60.11565873,45.96301169
39,60.30016974,46.41070953
40,60.54369261,45.18030993
41,60.14641274,47.8839575
42,60.36236303,47.21555017
43,60.63624179,48.46335044
44,59.55606307,47.12662289
45,60.55301593,46.46340297
46,60.1458113,47.44214228
47,59.95719959,47.16986497
48,59.70180429,47.28289766
49,60.85352066,47.81510215
50,59.80404382,48.0507645
51,59.70652054,47.71945869
52,60.01803066,47.83491241
53,60.28081193,47.13514429
54,59.26919808,47.95733853
55,59.87085941,48.35653475
56,60.07770391,46.83913652
57,60.02924519,47.65873547
58,60.54295989,46.90269534
59,59.28606479,47.88856352
60,59.62430549,48.02521942
61,59.54049839,48.25247187
62,59.88849967,47.89517367
63,59.82938071,48.46144139
64,59.46159425,48.01184925
65,59.96269644,49.00604419
66,59.18457098,46.98280281
67,59.9483998,48.55050825
68,59.9134489,48.98744074
69,60.39662515,48.79689326
70,59.31799886,47.67951689
71,60.65564685,48.20300251
72,59.73783793,48.11870945
73,59.75594873,46.8731041
74,59.53579609,47.78462285
75,60.51613181,48.83547198
76,58.4680475,47.57633161
77,60.88256775,47.75349275
78,58.99447104,46.73556719
79,58.40084049,48.58655661
80,61.07371275,47.58741578
81,60.60713774,47.10298939
82,60.70649665,47.27117287
83,60.9131248,48.27147125
84,55.90251494,47.97643947
85,58.55541513,48.27734283
86,60.69202455,47.91302793
87,57.7141647,47.54576872
88,60.86124021,48.06956886
89,60.95298359,47.72091522
90,61.16151344,48.25902309
91,61.37082322,47.51472499
92,61.04938398,47.60205593
93,60.57400284,47.07011261
94,56.29471311,47.8769581
95,58.95885555,46.5988087
96,60.08949291,47.5853007
97,55.67475095,46.6070902
98,58.38310489,47.76174051
99,59.67726043,47.08120692
100,55.95258074,47.72957247
101,60.5717283,47.66455955
102,60.16839774,47.5855107
103,58.08118817,47.98442253
104,55.92145773,47.6514094
105,56.99165568,47.28101606
106,56.12569707,47.58108036
107,59.79120474,46.13264079
108,60.25307499,47.91227764
109,58.32364875,47.19107337
110,54.57234576,47.2992398
111,57.5825457,47.46067567
112,56.78771354,47.98272989
113,54.03108097,47.13065925
114,55.6932449,48.45193004
115,59.12141269,46.95065744
116,58.44055656,48.19492915
117,60.88808305,48.48743371
118,59.57169961,47.48869104
119,60.46123057,47.45768041
120,56.43692816,47.31583041
121,57.29739375,47.32945055
122,55.95221564,46.93536505
123,58.38299146,47.47246458
124,59.5758909,46.75449297
125,56.17075869,47.69115258
126,57.57908188,47.47595742
127,59.15532141,48.52948954
