Timestep,Model,Accumulation,Outflow,Travel_time
1,MD-model,1058.25,240.7,169.51
2,MD-model,1125.72,242.71,263.4
3,MD-model,1200.47,263.36,376.9
4,MD-model,1279.22,272.87,502.17
5,MD-model,1362.91,269.35,627.42
6,MD-model,1456.11,267.91,752.68
7,MD-model,1549.3,270.19,881.05
8,MD-model,1642.5,273.37,1044.49
9,MD-model,1734.86,276.97,1203.63
10,MD-model,1879.23,280.77,1364.83
11,MD-model,2016.42,284.95,1560.99
12,MD-model,2144.82,289.77,1751.72
13,MD-model,2259.21,294.79,1945.84
14,MD-model,2367.6,299.78,2174.66
15,MD-model,2467.18,304.78,2403.52
16,MD-model,2576.44,306.74,2640.5
17,MD-model,2700.28,312.7,2902.13
18,MD-model,2832.25,320.51,3189.74
19,MD-model,2972.7,327.51,3468.99
20,MD-model,3131.44,333.37,3719.7
21,MD-model,3307.94,344.41,4006.59
22,MD-model,3483.64,354.27,4318.92
23,MD-model,3681.51,361.35,4660.85
24,MD-model,3892.95,367.36,5036.6
25,MD-model,4087.53,375.95,5433.34
26,MD-model,4290.9,385.72,5847.88
27,MD-model,4497.3,395.25,6277.7
28,MD-model,4691.53,403.02,6739.38
29,MD-model,4907.06,412.33,7205.07
30,MD-model,5096.86,419.86,7685.31
31,MD-model,5316.83,427.1,8211.97
32,MD-model,5521.27,434.44,8775.3
33,MD-model,5723.53,441.63,9360.77
34,MD-model,5940.44,446.74,9975.12
35,MD-model,6144.21,450.79,10621.18
36,MD-model,6350.84,458.04,11303.63
37,MD-model,6560.07,461.04,12058.01
38,MD-model,6758.3,462.35,12854.62
39,MD-model,6970.22,463.67,13608.19
40,MD-model,7185.01,464.82,14440.21
41,MD-model,7401.35,465.83,15373.75
42,MD-model,7596.88,466.5,16370.89
43,MD-model,7809.95,467.09,17373.2
44,MD-model,8025.54,467.82,18462.53
45,MD-model,8218.05,468.77,19638.19
46,MD-model,8394.74,469.27,20809.67
47,MD-model,8516.3,468.95,22137.97
48,MD-model,8587.52,468.19,23360.02
49,MD-model,8607.61,467.16,24696
50,MD-model,8573.63,466,25985.26
51,MD-model,8491.82,464.98,27200.63
52,MD-model,8350.42,464.01,28403.65
53,MD-model,8153.34,462.8,29470.21
54,MD-model,7937.97,461.52,30504.81
55,MD-model,7699.35,460.36,31483.02
56,MD-model,7474.33,459.21,32391.75
57,MD-model,7247.18,458.04,33214.07
58,MD-model,6992.12,456.58,33981.41
59,MD-model,6760.64,455.12,34733.76
60,MD-model,6511.62,453.55,35418.01
61,MD-model,6259.82,452.02,36012.53
62,MD-model,6006.05,450.23,36572.5
63,MD-model,5758.97,448.34,37114.45
64,MD-model,5531.57,446.52,37615.96
