Timestep,Model,Accumulation,VHT,Actions
1,MD-model,886.95,331.5,0.8
2,MD-model,886.97,392.07,0.4
3,MD-model,887.64,511.47,0.4
4,MD-model,889.4,591.4,0.4
5,MD-model,893.28,667.43,0.4
6,MD-model,901.75,780.54,0.4
7,MD-model,910.13,842.01,0.2
8,MD-model,919.77,972.01,0.2
9,MD-model,934.68,1117.76,0.2
10,MD-model,957.44,1175.74,0.2
11,MD-model,981.95,1144.49,0.2
12,MD-model,1013.39,1467.24,0.2
13,MD-model,1054.97,1590.73,0.2
14,MD-model,1096.55,1768.4,0.2
15,MD-model,1136.75,1946.02,0.2
16,MD-model,1202.49,2073.96,0.2
17,MD-model,1294.44,2142.92,0.2
18,MD-model,1386.38,2260.74,0.2
19,MD-model,1475.82,2370.65,0.2
20,MD-model,1608.54,2639.67,0.2
21,MD-model,1749.62,2842.23,0.2
22,MD-model,1881.44,3019.91,0.2
23,MD-model,2025.96,3289.62,0.2
24,MD-model,2186.68,3574.07,0.2
25,MD-model,2317.21,3830.42,0.2
26,MD-model,2428.85,4159.85,0.2
27,MD-model,2509.7,4411.28,0.2
28,MD-model,2590.56,4768.43,0.2
29,MD-model,2651.55,5125.48,0.2
30,MD-model,2698.57,5586.66,0.2
31,MD-model,2745.59,6074.69,0.2
32,MD-model,2792.62,6546.22,0.2
33,MD-model,2826.68,6981.43,0.2
34,MD-model,2843.47,7533.41,0.2
35,MD-model,2853.97,8155.65,0.2
36,MD-model,2858.6,8806.54,0.2
37,MD-model,2856.06,9457.38,0.2
38,MD-model,2850.06,10186.41,0.2
39,MD-model,2840.96,10978.96,0.2
40,MD-model,2830.68,11859.14,0.6
41,MD-model,2815.77,12795.3,0.6
42,MD-model,2795.05,13695.58,0.6
43,MD-model,2763.78,14699.03,0.6
44,MD-model,2732.84,15830.74,0.6
45,MD-model,2689.06,17033.82,0.6
46,MD-model,2630.47,18300.77,0.6
47,MD-model,2568.6,19645.92,0.6
48,MD-model,2437.74,21070.82,0.6
49,MD-model,2335.25,22583.39,0.6
50,MD-model,2229.3,24212.14,0.6
51,MD-model,2123.35,25965.65,0.6
52,MD-model,2028.17,27792.2,0.6
53,MD-model,1911.79,29821.14,0.6
54,MD-model,1824.12,31850.07,0.6
55,MD-model,1736.45,33879,0.6
56,MD-model,1653.22,35907.93,0.6
57,MD-model,1603.72,37936.86,0.6
58,MD-model,1557.5,39965.79,0.6
59,MD-model,1511.28,41994.72,0.6
60,MD-model,1471.12,44055.28,0.6
61,MD-model,1442.12,46247.14,0.6
62,MD-model,1416.13,48482.64,0.6
63,MD-model,1393.05,50725.26,0.6
64,MD-model,1368.49,53188.55,0.6
65,MD-model,1343.53,55466.81,0.6
66,MD-model,1319.26,57659.08,0.6
67,MD-model,1304.34,60125.05,0.6
68,MD-model,1290.37,62471.55,0.6
69,MD-model,1276.98,65108.81,0.6
70,MD-model,1264.54,67609.17,0.6
71,MD-model,1252.71,70181.58,0.6
72,MD-model,1239.92,72768.67,0.6
73,MD-model,1227.74,75582.36,0.6
74,MD-model,1215.57,78302.83,0.6
75,MD-model,1204.47,81075.4,0.6
76,MD-model,1194.18,84049.86,0.6
77,MD-model,1183.32,87025.57,0.6
78,MD-model,1170.99,90139.52,0.6
79,MD-model,1160.39,93265.81,0.6
80,MD-model,1150.71,96354.85,0.6
81,MD-model,1140.67,99729.22,0.6
82,MD-model,1129.99,103347.59,0.6
83,MD-model,1119.26,106965.96,0.6
84,MD-model,1109.58,110584.33,0.6
85,MD-model,1098.43,114202.7,0.6
86,MD-model,1087.27,117820.87,0.6
87,MD-model,1076.88,121804.75,0.6
88,MD-model,1067.09,126237.02,0.6
89,MD-model,1056.95,130638.51,0.6
90,MD-model,1047.97,135039.99,0.6
1,Greedy control,889,172.13,0.8
2,Greedy control,889.89,319.48,0.8
3,Greedy control,890.77,466.83,0.8
4,Greedy control,892.98,613.04,0.8
5,Greedy control,895.99,671.04,0.8
6,Greedy control,900.59,729.05,0.8
7,Greedy control,906.75,787.05,0.8
8,Greedy control,913.42,845.05,0.8
9,Greedy control,928.38,942.12,0.8
10,Greedy control,943.9,1048.49,0.8
11,Greedy control,961.63,1154.86,0.8
12,Greedy control,975.89,1261.23,0.8
13,Greedy control,993.07,1367.6,0.8
14,Greedy control,1017.65,1509.47,0.8
15,Greedy control,1043.18,1667.17,0.8
16,Greedy control,1076.45,1824.87,0.8
17,Greedy control,1125.83,1982.57,0.8
18,Greedy control,1213.51,2140.28,0.8
19,Greedy control,1313.65,2297.98,0.8
20,Greedy control,1422.65,2513.83,0.8
21,Greedy control,1557.37,2754.69,0.8
22,Greedy control,1703.33,2995.54,0.8
23,Greedy control,1846.55,3236.4,0.8
24,Greedy control,1946.36,3477.26,0.8
25,Greedy control,2079.4,3758.29,0.2
26,Greedy control,2167.7,4054.7,0.2
27,Greedy control,2247.91,4351.12,0.2
28,Greedy control,2309.89,4647.53,0.2
29,Greedy control,2357.62,4973.59,0.2
30,Greedy control,2399.51,5446.68,0.2
31,Greedy control,2431.86,5919.78,0.2
32,Greedy control,2457.34,6392.88,0.2
33,Greedy control,2478.7,6865.98,0.2
34,Greedy control,2497.74,7436.63,0.2
35,Greedy control,2513.04,8069.05,0.2
36,Greedy control,2524.24,8701.47,0.2
37,Greedy control,2534.11,9333.89,0.2
38,Greedy control,2541.58,9966.31,0.2
39,Greedy control,2546.01,10598.73,0.2
40,Greedy control,2549.08,11231.16,0.2
41,Greedy control,2552.14,11881.25,0.2
42,Greedy control,2553.51,12812.76,0.2
43,Greedy control,2553.67,13812.25,0.2
44,Greedy control,2554.61,14922.73,0.2
45,Greedy control,2548.69,16113.22,0.2
46,Greedy control,2533.57,17320.52,0.2
47,Greedy control,2499,18678.19,0.2
48,Greedy control,2449.82,20055.03,0.2
49,Greedy control,2413.58,21466.44,0.2
50,Greedy control,2332.26,23038.86,0.2
51,Greedy control,2254.21,24629.26,0.2
52,Greedy control,2170.47,26434.77,0.2
53,Greedy control,2088.54,28137.9,0.2
54,Greedy control,2013.68,29919.39,0.2
55,Greedy control,1944.96,31847.75,0.2
56,Greedy control,1901.99,33822.93,0.2
57,Greedy control,1861.12,35859.45,0.2
58,Greedy control,1827.52,37807.62,0.2
59,Greedy control,1802.22,39906.43,0.2
60,Greedy control,1778.5,41978.51,0.2
61,Greedy control,1758.41,44138.44,0.2
62,Greedy control,1741.58,46284.6,0.2
63,Greedy control,1726.46,48380.9,0.2
64,Greedy control,1712.77,50591.49,0.2
65,Greedy control,1700.07,52858.27,0.2
66,Greedy control,1688.03,55097.67,0.2
67,Greedy control,1676.41,57415.46,0.2
68,Greedy control,1666.18,59693.53,0.2
69,Greedy control,1654.59,62183.35,0.2
70,Greedy control,1643.14,64464.9,0.2
71,Greedy control,1632.49,66991.66,0.2
72,Greedy control,1621.84,69530.24,0.2
73,Greedy control,1611.59,72068.81,0.2
74,Greedy control,1601.16,74607.38,0.2
75,Greedy control,1590.62,77145.96,0.2
76,Greedy control,1580.43,79665.38,0.2
77,Greedy control,1570.68,82309.62,0.2
78,Greedy control,1560.73,84895.88,0.2
79,Greedy control,1550.95,87701.46,0.2
80,Greedy control,1541.59,90855.66,0.2
81,Greedy control,1530.48,93757.36,0.2
82,Greedy control,1519.71,96915.13,0.2
83,Greedy control,1508.82,99930.63,0.2
84,Greedy control,1497.42,102897.59,0.2
85,Greedy control,1485.25,106389.03,0.2
86,Greedy control,1474.08,109728.48,0.2
87,Greedy control,1462.92,113235.7,0.2
88,Greedy control,1451.23,117090.08,0.2
89,Greedy control,1439.63,120356.86,0.2
90,Greedy control,1429.49,123589.74,0.2
1,Fixed control,891.27,317.55,0.5
2,Fixed control,891.27,430.6,0.5
3,Fixed control,891.28,510.15,0.5
4,Fixed control,893.39,567.48,0.5
5,Fixed control,896.3,623.06,0.5
6,Fixed control,900.06,729.34,0.5
7,Fixed control,905.37,844.74,0.5
8,Fixed control,912.23,961.83,0.5
9,Fixed control,925.45,1074.94,0.5
10,Fixed control,941.83,1237.45,0.5
11,Fixed control,958.78,1389.28,0.5
12,Fixed control,978.67,1506.65,0.5
13,Fixed control,1002.73,1619.69,0.5
14,Fixed control,1029.93,1732.78,0.5
15,Fixed control,1059.64,1847.38,0.5
16,Fixed control,1100.92,1965.21,0.5
17,Fixed control,1158.77,2141.58,0.5
18,Fixed control,1256.85,2314.61,0.5
19,Fixed control,1381.38,2486.93,0.5
20,Fixed control,1478.24,2664.59,0.5
21,Fixed control,1606.72,2842.27,0.5
22,Fixed control,1719.41,3054.85,0.5
23,Fixed control,1853.83,3289.93,0.5
24,Fixed control,2031.46,3517.88,0.5
25,Fixed control,2136.07,3816.5,0.5
26,Fixed control,2236.09,4119.28,0.5
27,Fixed control,2318.32,4431.17,0.5
28,Fixed control,2381.36,4788.33,0.5
29,Fixed control,2434.61,5145.46,0.5
30,Fixed control,2474.52,5547.38,0.5
31,Fixed control,2504.85,5994.82,0.5
32,Fixed control,2524.37,6471.6,0.5
33,Fixed control,2536.41,6968.4,0.5
34,Fixed control,2540.86,7550.92,0.5
35,Fixed control,2537.16,8173.37,0.5
36,Fixed control,2528.81,8799.22,0.5
37,Fixed control,2516.14,9450.06,0.5
38,Fixed control,2498.14,10218.12,0.5
39,Fixed control,2479.07,10999.51,0.5
40,Fixed control,2460.11,11780.85,0.5
41,Fixed control,2440.13,12601.54,0.5
42,Fixed control,2420,13559.79,0.5
43,Fixed control,2400.66,14563.02,0.5
44,Fixed control,2380.18,15634.15,0.5
45,Fixed control,2356.36,16808.89,0.5
46,Fixed control,2324.74,18076.93,0.5
47,Fixed control,2272.12,19476.97,0.5
48,Fixed control,2204.77,20844.86,0.5
49,Fixed control,2137.24,22405.01,0.5
50,Fixed control,2048.71,24017.44,0.5
51,Fixed control,1957.4,25630.3,0.5
52,Fixed control,1880.7,27423.09,0.5
53,Fixed control,1770.59,28962.61,0.5
54,Fixed control,1697.65,30586.26,0.5
55,Fixed control,1624.8,32975.78,0.5
56,Fixed control,1568.48,34985.07,0.5
57,Fixed control,1526.93,37081.97,0.5
58,Fixed control,1490.6,39152.25,0.5
59,Fixed control,1459.79,41304.27,0.5
60,Fixed control,1433.03,43563.35,0.5
61,Fixed control,1410.6,46183.82,0.5
62,Fixed control,1390.47,48335.94,0.5
63,Fixed control,1374.46,50387.21,0.5
64,Fixed control,1358.47,52704.93,0.5
65,Fixed control,1342.48,55102.48,0.5
66,Fixed control,1326.98,57420.25,0.5
67,Fixed control,1313,59850.43,0.5
68,Fixed control,1301.37,62261.12,0.5
69,Fixed control,1292.07,64738.86,0.5
70,Fixed control,1281.92,67307.68,0.5
71,Fixed control,1271.74,69818.93,0.5
72,Fixed control,1262.47,72551.03,0.5
73,Fixed control,1253.2,75239.14,0.5
74,Fixed control,1243.93,78029.09,0.5
75,Fixed control,1234.28,80697.74,0.5
76,Fixed control,1223.62,83689.09,0.5
77,Fixed control,1214.33,86639.07,0.5
78,Fixed control,1204.8,89609.97,0.5
79,Fixed control,1195.11,92168.86,0.5
80,Fixed control,1185.4,94529.89,0.5
81,Fixed control,1175.25,97865.55,0.5
82,Fixed control,1165.47,101135.43,0.5
83,Fixed control,1155.78,104183.76,0.5
84,Fixed control,1146.21,107638.23,0.5
85,Fixed control,1137.07,111446.8,0.5
86,Fixed control,1126.45,115520.53,0.5
87,Fixed control,1115.45,118853.45,0.5
88,Fixed control,1104.93,122839.63,0.5
89,Fixed control,1095.24,127065.67,0.5
90,Fixed control,1085.55,131371.52,0.5
1,Baseline model,889.36,327.6,0.2
2,Baseline model,887.6,385.58,0.4
3,Baseline model,887.54,493.26,0.4
4,Baseline model,888.91,592.45,0.4
5,Baseline model,892.64,672.68,0.4
6,Baseline model,900.17,776.39,0.4
7,Baseline model,909.62,896.73,0.4
8,Baseline model,920.91,1009.78,0.4
9,Baseline model,935.15,1074.44,0.4
10,Baseline model,955.99,1167.81,0.4
11,Baseline model,984.85,1305.3,0.4
12,Baseline model,1017.59,1482.91,0.4
13,Baseline model,1050,1615.1,0.4
14,Baseline model,1083.28,1742.37,0.4
15,Baseline model,1119.13,1855.41,0.4
16,Baseline model,1169.56,2013.87,0.4
17,Baseline model,1242.92,2147.52,0.4
18,Baseline model,1331.09,2211.37,0.4
19,Baseline model,1437.26,2448.9,0.4
20,Baseline model,1548.6,2662.52,0.4
21,Baseline model,1681.65,2842.27,0.4
22,Baseline model,1794.81,3054.85,0.4
23,Baseline model,1960.38,3309.33,0.4
24,Baseline model,2104.01,3583.06,0.4
25,Baseline model,2209.11,3820.58,0.4
26,Baseline model,2313.04,4058.03,0.4
27,Baseline model,2381.11,4508.81,0.4
28,Baseline model,2448.49,5012.89,0.4
29,Baseline model,2506.6,5516.96,0.4
30,Baseline model,2547.72,6021.04,0.4
31,Baseline model,2583.65,6525.11,0.4
32,Baseline model,2604.92,7029.19,0.4
33,Baseline model,2617.34,7533.26,0.4
34,Baseline model,2622.92,8037.34,0.4
35,Baseline model,2620.69,8541.41,0.4
36,Baseline model,2614.47,9045.49,0.4
37,Baseline model,2602.71,9558.98,0.4
38,Baseline model,2585.18,10209.83,0.4
39,Baseline model,2568.74,11059.2,0.4
40,Baseline model,2551.26,11875.25,0.4
41,Baseline model,2530.12,12734.7,0.4
42,Baseline model,2511.99,13703.51,0.4
43,Baseline model,2506.54,14718.81,0.4
44,Baseline model,2471.41,15801.26,0.4
45,Baseline model,2452.95,17008.57,0.4
46,Baseline model,2418.13,18282.9,0.4
47,Baseline model,2359.59,19637.05,0.4
48,Baseline model,2284.77,20990.4,0.4
49,Baseline model,2209.96,22513.66,0.4
50,Baseline model,2135.14,24141.35,0.4
51,Baseline model,2063.18,25868.75,0.4
52,Baseline model,1963.7,27670.86,0.4
53,Baseline model,1876.42,29022.78,0.4
54,Baseline model,1779.97,31437.94,0.4
55,Baseline model,1717.97,33254.86,0.4
56,Baseline model,1670.16,35331.16,0.4
57,Baseline model,1623.46,37279.73,0.4
58,Baseline model,1584.01,39393.71,0.4
59,Baseline model,1549.12,41472.89,0.4
60,Baseline model,1522.71,43775.66,0.4
61,Baseline model,1498.11,45892.24,0.4
62,Baseline model,1476.43,48002.01,0.4
63,Baseline model,1456.94,50431.17,0.4
64,Baseline model,1439.27,52588.29,0.4
65,Baseline model,1423.25,54905.87,0.4
66,Baseline model,1408.08,57208.3,0.4
67,Baseline model,1394.13,59621.11,0.4
68,Baseline model,1381.95,61958.8,0.4
69,Baseline model,1368.87,64472.62,0.4
70,Baseline model,1357.01,67103.33,0.4
71,Baseline model,1346.06,69587.59,0.4
72,Baseline model,1335.41,72182.38,0.4
73,Baseline model,1324.75,74759.95,0.4
74,Baseline model,1314.1,77550.04,0.4
75,Baseline model,1302.93,80419.8,0.4
76,Baseline model,1291.54,83369.57,0.4
77,Baseline model,1280.89,86319.67,0.4
78,Baseline model,1270.23,89194.64,0.4
79,Baseline model,1258.84,92231.62,0.4
80,Baseline model,1247.67,95613.11,0.4
81,Baseline model,1237.26,98997.28,0.4
82,Baseline model,1228,101952.94,0.4
83,Baseline model,1217.6,105618.12,0.4
84,Baseline model,1206.95,109075.54,0.4
85,Baseline model,1196.18,112478.24,0.4
86,Baseline model,1185.02,116783.33,0.4
87,Baseline model,1174.36,120530.48,0.4
88,Baseline model,1162.22,124676.83,0.4
89,Baseline model,1150.28,128902.87,0.4
90,Baseline model,1139.12,133208.71,0.4
